,DMC,ISI,temp,area
328,102.3,8.4,19.7,0.0
329,102.3,8.4,23.5,3.33
330,102.3,8.4,24.2,6.58
331,124.4,8.5,21.5,15.64
332,124.4,8.5,17.1,11.22
333,87.7,9.5,18.1,2.13
334,108.4,6.2,18.0,0.0
335,108.4,6.2,9.8,0.0
336,108.4,6.2,19.3,0.0
337,108.4,6.2,23.0,56.04
338,108.4,6.2,22.7,7.48
339,108.4,6.2,20.4,1.47
340,108.4,6.2,19.3,3.93
341,111.7,6.5,15.7,0.0
342,130.1,7.5,20.6,0.0
343,130.1,7.5,15.9,2.18
344,130.1,7.5,12.2,6.1
345,130.1,7.5,16.8,5.83
346,130.1,7.5,21.3,28.19
347,99.0,9.6,10.1,0.0
348,99.0,9.6,17.4,0.0
349,99.0,9.6,12.8,1.64
350,99.0,9.6,10.1,3.71
351,99.0,9.6,15.4,7.31
352,99.0,9.6,20.6,2.03
353,99.0,9.6,19.8,1.72
354,99.0,9.6,18.7,5.97
355,99.0,9.6,20.8,13.06
356,99.0,9.6,20.8,1.26
357,122.0,10.2,15.9,0.0
358,122.0,10.2,19.7,0.0
359,122.0,10.2,21.1,8.12
360,122.0,10.2,18.4,1.09
361,122.0,10.2,17.3,3.94
362,55.2,11.6,15.2,0.52
363,111.7,6.5,15.9,2.93
364,111.7,6.5,21.1,5.65
365,111.7,6.5,19.6,20.03
366,132.3,12.5,15.9,1.75
367,132.3,12.5,16.4,0.0
368,94.3,8.4,16.8,12.64
369,276.3,7.1,13.8,0.0
370,276.3,7.1,13.8,11.06
371,133.6,8.0,14.2,0.0
372,203.2,8.1,10.4,0.0
373,222.4,13.9,20.3,0.0
374,290.0,7.4,10.3,18.3
375,94.3,8.4,15.4,39.35
376,207.0,8.2,21.1,0.0
378,18.9,8.0,8.7,0.0
379,1.1,0.0,5.2,0.0
380,101.3,11.9,19.3,7.73
381,194.1,6.8,16.2,16.33
382,217.7,18.0,28.2,5.86
383,248.4,6.3,20.5,42.87
384,273.8,7.7,21.3,12.18
385,181.3,7.6,20.9,16.0
386,96.7,11.4,20.6,24.59
387,18.9,8.0,11.6,0.0
388,227.0,12.0,23.3,28.74
389,227.0,12.0,23.3,0.0
390,9.5,4.1,7.5,9.96
391,91.3,7.2,20.7,30.18
393,15.0,11.4,15.2,0.0
394,4.6,2.2,5.3,0.0
395,9.0,3.5,10.1,51.78
396,96.7,11.4,20.4,3.64
397,181.3,7.6,24.3,3.63
398,231.1,8.4,25.9,0.0
399,49.5,14.0,28.0,0.0
400,49.5,14.0,28.0,8.16
401,88.2,8.3,22.8,4.95
402,227.0,12.0,25.0,0.0
403,194.1,6.8,21.3,0.0
404,84.8,3.7,21.8,6.04
405,212.1,9.5,27.9,0.0
406,291.3,4.0,17.0,3.95
407,8.2,2.9,14.2,0.0
408,290.0,7.4,19.9,7.8
409,96.2,12.1,23.4,0.0
410,7.3,2.7,14.7,0.0
411,3.2,3.3,8.2,4.62
412,92.1,9.8,22.8,1.63
413,231.1,8.4,26.4,0.0
414,235.1,10.1,24.1,0.0
416,164.1,8.9,26.3,7.02
417,17.3,9.9,13.8,0.0
418,203.2,8.1,24.9,2.44
419,181.3,7.6,24.8,3.05
421,217.7,18.0,30.8,0.0
422,263.1,5.2,29.3,6.3
423,94.3,8.4,22.3,0.72
424,231.1,8.4,26.9,4.96
425,248.4,6.3,20.4,0.0
426,248.4,6.3,20.4,0.0
427,207.0,8.2,27.9,2.35
428,222.4,13.9,26.2,0.0
429,181.3,7.6,24.6,3.2
430,287.2,6.8,19.4,0.0
431,178.0,9.6,23.3,6.36
432,222.4,13.9,23.9,0.0
433,235.1,10.1,20.9,15.34
434,269.8,5.5,22.2,0.0
435,84.7,5.6,23.8,0.0
436,207.0,8.2,26.8,0.54
437,253.6,9.7,14.2,0.0
438,231.1,8.4,23.6,6.43
439,91.3,7.2,19.1,0.33
440,290.0,7.4,16.2,0.0
441,207.0,8.2,25.5,1.23
442,24.9,3.7,10.9,3.35
443,80.9,16.8,14.8,0.0
444,290.0,7.4,16.2,9.96
445,47.9,10.7,17.3,0.0
446,203.2,8.1,19.1,0.0
447,17.3,9.9,8.9,0.0
448,284.9,10.1,10.5,0.0
449,181.3,7.6,19.3,0.0
450,217.7,18.0,23.4,6.43
451,196.8,16.3,11.8,9.71
452,238.2,7.5,17.7,0.0
453,266.2,5.6,17.4,0.0
454,248.4,6.3,16.8,0.0
455,160.0,16.7,17.9,0.0
456,248.4,6.3,16.6,0.0
458,231.1,8.4,18.9,3.32
459,273.8,7.7,15.5,1.94
460,231.1,8.4,18.9,0.0
461,231.1,8.4,18.9,0.0
462,276.3,7.1,14.5,3.71
463,4.4,1.9,4.6,5.39
464,4.4,1.9,5.1,2.14
465,3.6,1.8,4.6,6.84
466,15.1,7.1,10.2,3.18
467,18.5,7.3,11.2,5.55
468,20.6,8.5,13.3,6.61
469,14.6,12.3,13.7,61.13
470,14.6,12.3,17.6,0.0
471,25.4,5.7,18.0,38.48
472,96.2,4.7,14.3,1.94
474,103.8,10.8,26.4,10.08
475,121.7,18.0,22.7,3.19
476,85.3,9.9,27.2,1.76
477,101.3,14.7,26.1,7.36
478,101.3,14.7,18.2,2.21
480,114.4,9.5,30.2,2.75
481,114.4,9.5,30.2,0.0
482,130.3,14.1,23.4,1.29
483,130.3,14.1,31.0,0.0
484,130.3,14.1,33.1,26.43
485,135.5,21.3,30.6,2.07
486,141.3,17.7,24.1,2.0
487,141.3,17.7,26.4,16.4
488,141.3,17.7,19.4,46.7
489,141.3,17.7,20.6,0.0
490,141.3,17.7,28.7,0.0
491,152.0,13.8,32.4,0.0
492,158.0,11.3,32.4,0.0
493,158.0,11.3,27.5,43.32
494,164.0,14.0,30.8,8.59
495,175.5,16.8,23.9,0.0
496,175.5,16.8,32.6,2.77
497,181.1,14.3,32.3,14.68
498,181.1,14.3,33.3,40.54
499,181.1,14.3,27.3,10.82
500,181.1,14.3,21.6,0.0
501,181.1,14.3,21.6,0.0
502,181.1,14.3,20.7,0.0
503,139.4,20.0,29.2,1.95
504,139.4,20.0,28.9,49.59
505,163.2,10.1,26.7,5.8
506,166.9,7.1,18.5,0.0
507,166.9,7.1,25.9,0.0
508,166.9,7.1,25.9,0.0
509,166.9,7.1,21.1,2.17
510,166.9,7.1,18.2,0.43
511,56.7,1.9,27.8,0.0
512,56.7,1.9,27.8,6.44
513,56.7,1.9,21.9,54.29
514,56.7,1.9,21.2,11.16
515,146.0,11.3,25.6,0.0
516,3.0,1.1,11.8,0.0
